url,analysis_timestamp,carsales_price_estimate,carsales_price_range,recommended_max_bid,expected_profit,profit_margin_percent,score_out_of_10,confidence_notes,manual_carsales_count,manual_carsales_min,manual_carsales_max,manual_carsales_avg,manual_carsales_avg_odometer,manual_carsales_table,manual_carsales_estimate,manual_instant_offer_estimate,manual_recent_sales_30d
https://www.grays.com/lot/0001-50517084/motor-vehicles-motor-cycles/2016-volkswagen-polo-66tsi-trendline-6r-automatic-hatchback,2025-10-15T21:50:04.030991+00:00,"$9,260","$5,145 - $11,874","$4,354","$4,906",53.0%,7.0,"Historical auction data indicates a strong median and mean price for similar vehicles.; Current bid is significantly below historical pricing, suggesting potential for profit.; Market demand for small hatchbacks like the Polo remains stable, but condition and mileage are critical.; Adjusted Carsales average for odometer difference (factor 0.79).",6.0,"$6,500","$15,000","$11,698","106,309 km",,,,
https://www.grays.com/lot/0001-50713295/motor-vehicles-motor-cycles/1998-toyota-landcruiser-gxl-fzj105r-automatic-8-seats-wagon,2025-10-16T03:53:55.715243+00:00,"$9,960","$5,691 - $14,228","$7,724","$2,236",22.4%,7.0,"The historical auction data indicates a median price of $7250, suggesting a solid resale potential.; Comparable listings on Carsales show a wide price range, indicating demand variability.; The high odometer reading may deter some buyers, impacting resale value.; Adjusted Carsales average for odometer difference (factor 0.81).",4.0,"$7,000","$17,500","$12,250","388,026 km",,,,
https://www.grays.com/lot/0001-21057846/motor-vehicles-motor-cycles/2008-mercedes-benz-m-class-w164-turbo-diesel-automatic-wagon,2025-10-16T06:20:38.940977+00:00,$3000,$2500 - $3500,"$1,500",$1500,100%,8.0,The historical median and mean suggest a stable resale value.; The vehicle's age and high odometer reading may limit buyer interest.,,,,,,,,,
https://www.grays.com/lot/0001-21057949/motor-vehicles-motor-cycles/2008-toyota-hilux-4x2-workmate-tgn16r-manual-dual-cab,2025-10-18T04:55:43.584329+00:00,"$10,066","$10,062 - $10,072","$6,156","$3,910",38.8%,8.0,"The vehicle is priced significantly lower than comparable listings, indicating potential for profit.; High odometer reading may deter some buyers, but the Hilux brand has strong resale value.; Market demand for dual cab utes remains robust in Australia.; Adjusted Carsales average for odometer difference (factor 1.12).",2.0,"$8,990","$8,999","$8,994","357,378 km",,,,
https://www.grays.com/lot/0001-50713414/motor-vehicles-motor-cycles/2019-isuzu-mu-x-4x4-ls-m-turbo-diesel-automatic-7-seats-wagon,2025-10-20T02:29:46.786961+00:00,"$27,815","$27,815 - $27,815","$19,170","$8,645",31.1%,7.5,"The historical median and mean prices indicate strong resale value despite high odometer reading.; Current auction bid is significantly below market expectations, presenting a potential buying opportunity.; Market risks include fluctuating demand for older diesel vehicles and potential regulatory changes.; Adjusted Carsales average for odometer difference (factor 0.75).",1.0,"$36,999","$36,999","$36,999","171,033 km",,,,
https://www.grays.com/lot/0001-21058096/motor-vehicles-motor-cycles/2010-holden-barina-spark-cd-mj-manual-hatchback,2025-10-21T13:20:10.054516+00:00,$800,$700 - $900,$400,$400,100%,8.0,The historical median price suggests a stable market value.; The vehicle's condition and mileage are reasonable for its age.,,,,,,,,,
https://www.grays.com/lot/0001-10351091/motor-vehicles-motor-cycles/2019-volkswagen-tiguan-132tsi-comfortline-mk2-automatic-wagon,2025-10-23T08:43:16.125775+00:00,"$12,277","$13,136 - $19,112","$9,622","$2,654",21.6%,8.0,"Current bid is significantly below historical auction data, indicating potential undervaluation.; Comparable sales suggest a strong demand for this model, supporting higher resale prices.; Market risks include potential fluctuations in demand and economic conditions affecting buyer sentiment.; Adjusted Carsales average for odometer difference (factor 0.66).",7.0,"$19,795","$28,800","$23,838","79,003 km",,"$17,000 - $20,000","$13,690 - $14,690",320.0
https://www.grays.com/lot/0001-21058073/motor-vehicles-motor-cycles/2018-ford-endura-trend-awd-turbo-diesel-automatic-8-speed-wagon,2025-10-23T14:12:43.919833+00:00,"$19,150",$14000 - $15000,"$12,000","$7,150",37.3%,7.0,"Historical auction data indicates a median price of $14,250, suggesting stability in the market.; Current bid is significantly below the historical mean, indicating potential for appreciation.; Market risks include fluctuating demand for diesel vehicles and potential economic factors affecting buyer sentiment.",,,,,,,"$17,600 - $20,700","$14,169 - $15,169",25.0
https://www.grays.com/lot/0001-21058368/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2025-10-26T09:29:47.022016+00:00,"$13,950","$11,500 - $13,500","$9,000","$4,950",35.5%,8.0,"Historical auction data indicates a strong median price of $9,300, suggesting solid resale potential.; The current bid of $4,200 is significantly lower than the estimated resale range, providing a good margin for profit.",,,,,,,"$12,700 - $15,200","$10,017 - $11,017",215.0
https://www.grays.com/lot/0001-21058085/motor-vehicles-motor-cycles/2017-mitsubishi-eclipse-cross-exceed-awd-ya-cvt-wagon,2025-10-26T14:06:01.762019+00:00,"$16,050",$13000 - $14500,"$8,200","$7,850",48.9%,8.0,"Historical auction data indicates a strong median price, suggesting stable demand.; The vehicle's mileage is relatively high, which could impact resale value but is offset by the model's desirability.; Current bid is significantly below historical values, presenting a potential opportunity.",,,,,,,"$15,300 - $16,800",,30.0
https://www.grays.com/lot/0001-21058112/motor-vehicles-motor-cycles/2020-holden-commodore-lt-zb-9-auto-wagon,2025-10-26T14:10:28.084612+00:00,"$13,300",$11000 - $12000,"$9,500","$3,800",28.6%,6.5,"The historical median and mean prices suggest a stable market value.; Current bid is significantly lower than historical values, indicating potential undervaluation.",,,,,,,"$12,100 - $14,500","$10,116 - $11,116",52.0
https://www.grays.com/lot/0001-21058078/motor-vehicles-motor-cycles/2019-holden-trailblazer-ltz-rg-turbo-diesel-automatic-7-seats-wagon,2025-10-26T14:20:00.848273+00:00,"$24,600",$21000 - $23000,"$16,500","$8,100",32.9%,8.0,"The historical auction data indicates a strong median and mean price, suggesting a stable market.; Current bid is significantly lower than historical values, indicating potential for resale upside.; The vehicle's mileage is reasonable for its age, which may attract buyers.",,,,,,,"$22,900 - $26,300","$21,424 - $22,424",60.0
https://www.grays.com/lot/0001-21058491/motor-vehicles-motor-cycles/2018-volkswagen-tiguan-132tsi-comfortline-mk2-automatic-wagon-luxury-pack,2025-10-28T00:58:34.596611+00:00,"$22,100",$16500 - $18500,"$14,500","$7,600",34.4%,6.5,"Historical auction data indicates a median price of $15,250, suggesting current bid is significantly below market value.; The vehicle's condition and mileage are favorable, but market fluctuations and competition could impact final sale price.",,,,,,,"$20,600 - $23,600","$17,021 - $18,021",308.0
https://www.grays.com/lot/0001-21057956/motor-vehicles-motor-cycles/2018-hyundai-tucson-active-x-tl-automatic-wagon,2025-10-28T03:10:23.123345+00:00,$9100,$8500 - $9500,"$4,600",$4500,49%,8.0,"Historical median and mean prices indicate strong resale potential.; Current bid is significantly below historical values, suggesting a good buying opportunity.",,,,,,,,,
https://www.grays.com/lot/0001-21058573/motor-vehicles-motor-cycles/2013-mitsubishi-outlander-aspire-4wd-zj-t-d-auto-7-seats-wagon-comp2014,2025-10-30T11:31:50.299232+00:00,"$7,300",$6200 - $8400,"$4,700","$2,600",35.6%,8.0,"Historical auction data indicates a median price of $5800, suggesting a stable market for this model.; The vehicle's odometer reading is high, which may limit buyer interest but is offset by the 7-seat capacity and 4WD capability.",,,,,,,"$6,200 - $8,400",,30.0
https://www.grays.com/lot/0001-21058578/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback,2025-10-30T21:34:12.464124+00:00,"$9,850",$9000 - $10300,"$7,309","$1,041",10.6%,2.1,"The historical median and mean prices suggest a stable resale value.; Current bid is significantly below historical pricing, indicating potential for profit.; Raised recommended max bid to $7,309 to respect the closest historical median.; Score capped at 2.1 to align with 10.6% profit margin.",,,,,,,"$9,400 - $10,300",,217.0
https://www.grays.com/lot/0001-21058584/motor-vehicles-motor-cycles/2012-audi-a3-1-8-tfsi-amb-8p-automatic-hatchback,2025-10-30T21:49:47.054500+00:00,"$7,800",$6700 - $8900,"$4,102","$2,198",28.2%,5.6,"The historical median auction price indicates strong resale potential.; Current bid is significantly lower than historical values, suggesting a good buying opportunity.; Raised recommended max bid to $4,102 to respect the closest historical median.; Score capped at 5.6 to align with 28.2% profit margin.",,,,,,,"$6,700 - $8,900",,26.0
https://www.grays.com/lot/0001-21058484/motor-vehicles-motor-cycles/2006-volvo-xc70-se-automatic-wagon,2025-10-30T21:53:40.091394+00:00,"$3,700",$2200 - $2600,"$1,400",$800,21.6%,4.3,"The historical auction data indicates a strong consistency in pricing around $1400.; The vehicle's condition and mileage are typical for its age, supporting a competitive resale price.; Market demand for older Volvos can fluctuate, but the XC70 has a loyal following.; Raised recommended max bid to $1,400 to respect the historical auction minimum.; Score capped at 4.3 to align with 21.6% profit margin.",,,,,,,"$2,800 - $4,600",,0.0
https://www.grays.com/lot/0001-21058566/motor-vehicles-motor-cycles/2007-toyota-yaris-yrs-ncp91r-automatic-hatchback,2025-10-30T23:59:49.020100+00:00,"$4,200",$3500 - $4400,"$2,609",$91,2.2%,0.4,"Historical median and mean prices suggest a stable demand for this model.; The current bid is significantly lower than historical values, indicating potential for profit.; High odometer reading may affect resale value, but Toyota's reliability is a strong selling point.; Raised recommended max bid to $2,609 to respect the closest historical median.; Score capped at 0.4 to align with 2.2% profit margin.",,,,,,,"$4,000 - $4,400",,87.0
https://www.grays.com/lot/0001-21058580/motor-vehicles-motor-cycles/2011-volkswagen-golf-77tsi-a6-automatic-hatchback,2025-10-31T00:05:35.076628+00:00,"$7,900",$6800 - $9000,"$5,300","$1,100",13.9%,2.8,"Historical auction data indicates a strong average price for similar vehicles.; The current bid is significantly below the historical median, suggesting potential for profit.; Market demand for hatchbacks like the Golf remains stable in the region.; Score capped at 2.8 to align with 13.9% profit margin.",,,,,,,"$6,800 - $9,000",,179.0
https://www.grays.com/lot/0001-21059109/motor-vehicles-motor-cycles/2015-nissan-altima-ti-s-l33-cvt-sedan,2025-11-11T08:13:03.786321+00:00,$7400,$7000 - $7800,"$5,109",$791,10.7%,2.1,"Historical auction data indicates a strong median and mean price for similar vehicles.; The current bid is significantly lower than the historical pricing, suggesting potential for profit.; Capped recommended max bid at $5,109 (current bid plus $3,500 headroom).; Recommended bid undercuts the historical auction minimum ($5,700); confirm condition advantages before bidding.; Score capped at 2.1 to align with 10.7% profit margin.",,,,,,,,,
https://www.grays.com/lot/0001-21058951/motor-vehicles-motor-cycles/2014-mitsubishi-lancer-ralliart-cj-automatic-sedan,2025-11-11T08:18:48.205147+00:00,$10000,$9000 - $11000,"$8,500",$0,0.0%,0.0,"The current bid is significantly lower than historical auction data, indicating potential undervaluation.; The vehicle's mileage is relatively high, which may impact resale value.; Market demand for this specific model may fluctuate, posing a risk to expected resale price.; Recommended bid undercuts the historical auction minimum ($13,620); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-21059120/motor-vehicles-motor-cycles/2017-hyundai-accent-sport-rb-automatic-hatchback,2025-11-11T08:20:04.071886+00:00,$7400,$7000 - $7800,"$5,609",$291,3.9%,0.8,"Historical auction data indicates a median price of $7700, suggesting a stable market value.; The vehicle's high odometer reading may affect resale value, but the model's popularity can mitigate this risk.; Capped recommended max bid at $5,609 (current bid plus $3,500 headroom).; Recommended bid undercuts the historical auction minimum ($6,600); confirm condition advantages before bidding.; Score capped at 0.8 to align with 3.9% profit margin.",,,,,,,,,
https://www.grays.com/lot/0001-9064974/motor-vehicles-motor-cycles/2012-audi-q5-2-0-tdi-quattro-8r-t-d-auto-wagon-wovr-inspected,2025-11-11T08:21:39.637176+00:00,$6500,$6000 - $7000,"$4,409",$591,9.1%,1.8,"The historical auction data indicates a median price of $6475, suggesting a stable market value.; The vehicle's high odometer reading may deter some buyers, impacting resale potential.; Capped recommended max bid at $4,409 (current bid plus $3,500 headroom).; Recommended bid undercuts the closest historical median ($6,475); confirm condition advantages before bidding.; Score capped at 1.8 to align with 9.1% profit margin.",,,,,,,,,
https://www.grays.com/lot/0001-60049534/motor-vehicles-motor-cycles/2017-toyota-hilux-4x2-sr-hi-rider-gun136r-turbo-diesel-automatic-dual-cab,2025-11-11T08:22:25.114678+00:00,$17900,$17000 - $19000,"$16,400",$0,0.0%,0.0,"The historical median and mean prices suggest a stable resale value.; Current bid is significantly lower than historical values, indicating potential for appreciation.; Market demand for used Hilux models remains strong, but economic factors could impact pricing.; Recommended bid undercuts the closest historical median ($17,700); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-9064953/motor-vehicles-motor-cycles/2015-volkswagen-golf-103tsi-highline-a7-automatic-hatchback,2025-11-11T08:24:17.416292+00:00,$6000,$5500 - $6500,"$4,500",$0,0.0%,0.0,"The historical median and mean prices indicate a stable market value around $6,000.; The high odometer reading may deter some buyers, impacting resale value.; Recommended bid undercuts the closest historical median ($5,700); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-9065000/motor-vehicles-motor-cycles/2012-mazda-cx-5-grand-touring-ke-turbo-diesel-automatic-wagon,2025-11-11T08:26:46.400662+00:00,$5300,$5000 - $5500,"$3,800",$0,0.0%,0.0,"The historical median price suggests a stable market value for this model.; Current bid is significantly lower than historical values, indicating potential undervaluation.; Recommended bid undercuts the closest historical median ($5,100); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-9065012/motor-vehicles-motor-cycles/2023-suzuki-vitara-automatic-wagon,2025-11-11T08:28:26.793617+00:00,$14500,$14000 - $15000,"$13,000",$0,0.0%,0.0,"The current bid is significantly lower than historical pricing, indicating potential undervaluation.; Market demand for Suzuki Vitara may fluctuate, impacting resale value.; Reconditioning costs could affect overall profitability if unexpected repairs are needed.; Recommended bid undercuts the historical auction minimum ($14,600); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-21059115/motor-vehicles-motor-cycles/2012-subaru-xv-2-0i-g4x-cvt-hatchback,2025-11-11T08:30:10.471573+00:00,$4800,$4500 - $5100,"$3,200",$100,2.1%,0.4,"The historical median and mean prices indicate a stable market for this model.; The vehicle's high odometer reading may limit buyer interest, but the price range reflects current demand.; Recommended bid undercuts the closest historical median ($4,800); confirm condition advantages before bidding.; Score capped at 0.4 to align with 2.1% profit margin.",,,,,,,,,
https://www.grays.com/lot/0001-21059100/motor-vehicles-motor-cycles/2011-nissan-elgrand-automatic-private-import-7-seats-wagon,2025-11-11T08:30:58.996731+00:00,$6600,$6000 - $7200,"$4,800",$300,4.5%,0.9,"Historical auction data indicates a consistent median price of $6600.; Current bid is significantly lower than historical values, suggesting potential for profit.; Market demand for unique imports like the Nissan Elgrand may enhance resale value.; Recommended bid undercuts the historical auction minimum ($6,600); confirm condition advantages before bidding.; Score capped at 0.9 to align with 4.5% profit margin.",,,,,,,,,
https://www.grays.com/lot/0001-50713607/motor-vehicles-motor-cycles/2017-ford-transit-custom-290s-swb-vn-turbo-diesel-automatic-van,2025-11-11T19:23:37.391528+00:00,$13000,$12000 - $14000,"$8,000","$3,500",26.9%,5.4,"The vehicle's high odometer reading may limit resale value.; Historical auction data suggests a significant discount from median prices.; Market demand for used vans can fluctuate based on economic conditions.; Capped recommended max bid at $8,000 (current bid plus $3,500 headroom).; Recommended bid undercuts the historical auction minimum ($13,613); confirm condition advantages before bidding.; Score capped at 5.4 to align with 26.9% profit margin.",,,,,,,,,
https://www.grays.com/lot/0001-21059168/motor-vehicles-motor-cycles/2012-volkswagen-golf-103tdi-comfortline-a6-turbo-diesel-automatic-wagon,2025-11-11T19:24:03.936585+00:00,$1600,$1500 - $1800,"$1,300",$0,0.0%,0.0,"Historical auction data indicates a consistent demand for this model.; Current bid is below the historical median, suggesting potential for a profitable resale.; Raised recommended max bid to match the current live bid ($1,300).; Recommended bid undercuts the closest historical median ($1,809); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-21059149/motor-vehicles-motor-cycles/2005-mazda-6-luxury-sports-gg-automatic-hatchback,2025-11-11T19:24:17.063072+00:00,$1300,$1200 - $1400,$709,$0,0.0%,0.0,"The historical median and mean prices suggest a stable market for this model.; The vehicle's age and odometer reading may limit its appeal, but the Luxury Sports variant adds value.; Raised recommended max bid to match the current live bid ($709).; Recommended bid undercuts the historical auction minimum ($900); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-21059160/motor-vehicles-motor-cycles/2009-mazda-3-neo-bl-automatic-sedan,2025-11-11T19:24:27.906630+00:00,$3600,$3300 - $3900,"$2,809",$0,0.0%,0.0,"Historical auction data indicates a stable resale market for similar vehicles.; The vehicle's condition and mileage are reasonable for its age, enhancing resale potential.; Raised recommended max bid to match the current live bid ($2,809).; Recommended bid undercuts the closest historical median ($3,709); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-21059145/motor-vehicles-motor-cycles/2007-volvo-s40-t5-awd-automatic-sedan,2025-11-11T19:24:38.466364+00:00,$1400,$1200 - $1600,$609,$0,0.0%,0.0,"The historical auction data indicates a median price of $1432, which supports the estimated resale price.; The vehicle's age and mileage are reasonable for its category, suggesting a stable demand.; Potential risks include market fluctuations and the condition of the vehicle affecting resale value.; Raised recommended max bid to match the current live bid ($609).; Recommended bid undercuts the closest historical median ($809); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-21059184/motor-vehicles-motor-cycles/2012-jeep-patriot-sport-mk-manual-wagon,2025-11-11T19:24:51.626492+00:00,$2200,$2000 - $2400,"$1,109",$0,0.0%,0.0,"The historical median and mean auction prices indicate a stable demand for this model.; The low current bid suggests potential for a bargain acquisition, given the historical pricing data.; Raised recommended max bid to match the current live bid ($1,109).; Recommended bid undercuts the closest historical median ($2,504); confirm condition advantages before bidding.; Score forced to 0 because projected profit is not positive.",,,,,,,,,
https://www.grays.com/lot/0001-21059173/motor-vehicles-motor-cycles/2016-mitsubishi-outlander-exceed-4wd-zk-cvt-7-seats-wagon,2025-11-11T19:25:08.625759+00:00,$9500,$9000 - $10000,"$6,809","$1,191",12.5%,2.5,"The vehicle's high odometer reading may limit buyer interest.; Historical auction data suggests a strong median price, but current bid is significantly lower.; Capped recommended max bid at $6,809 (current bid plus $3,500 headroom).; Recommended bid undercuts the closest historical median ($10,200); confirm condition advantages before bidding.; Score capped at 2.5 to align with 12.5% profit margin.",,,,,,,,,
https://www.grays.com/lot/0001-21059186/motor-vehicles-motor-cycles/2004-toyota-avalon-gxi-mcx10r-automatic-sedan,2025-11-11T19:25:20.420342+00:00,$8000,$7500 - $8500,"$4,250","$2,250",28.1%,5.6,"The historical auction data indicates stable pricing around $809, suggesting limited appreciation potential.; The vehicle's age and high odometer reading may deter some buyers, impacting resale value.; Capped recommended max bid at $4,250 (current bid plus $3,500 headroom).; Score capped at 5.6 to align with 28.1% profit margin.",,,,,,,,,
